,Real Name,Py Name,Subscripts,Units,Limits,Type,Subtype,Comment,Model,Equation,isEquation,Interest
4595,split equation Fe,split_equation_fe,['EQUATION SPLIT I'],DMNL,"(nan, nan)",Constant,External,"Coeffiecients from curve fitting the price curve graphical variable for Fe price from World 7. Source: Sverdrup, H., and Olafsdottir, A.H., 2019., Assessing the Longâ€Term Global Sustainability of the Production and Supply for Stainless Steel. Biophysical Economics and Resource Quality 1-26. https://doi.org/10.1007/s41247-019-0056-9 Open access publication. Sverdrup, H. and Ragnarsdottir, K.V., 2014. Natural Resources in a planetary perspective. Geochemical Perspectives Vol. 3, number 2, October issue 2014. 2:129-341. European Geochemical Society. Open access Sverdrup, H., and Olafsdottir, A.H., 2019. Conceptualization and parameterization of the market price mechanism in the WORLD6 model for metals, materials and fossil fuels. Mineral Economics 1-26. Springer Nature DOI: 10.1007/s13563-019-00182-7.",,,,False
4596,split equation Ni,split_equation_ni,,,"(nan, nan)",Constant,Normal,,,,,False
4597,split gasoline diesel passanger transport,split_gasoline_diesel_passanger_transport,"['REGIONS 35 I', 'TRANSPORT POWER TRAIN I', 'PASSENGERS TRANSPORT MODE I']",,"(nan, nan)","Auxiliary, Constant",Normal,Split gasoline and diesel,,,,False
4598,standard of living index,standard_of_living_index,['REGIONS 35 I'],DMNL,"(nan, nan)",Auxiliary,Normal,Formula proposed by UNDP and revisable in technical-notes-calculating-human-development-indices.pdf (undp.org),,,,False
4599,stationary electrolyzer capacity stock,stationary_electrolyzer_capacity_stock,['REGIONS 9 I'],TW,"(nan, nan)",Stateful,Integ,Operational capacity stock of electrolyzers.,,,,False
4600,stationary electrolyzers capacity decommissioning,stationary_electrolyzers_capacity_decommissioning,['REGIONS 9 I'],TW/Year,"(nan, nan)",Auxiliary,Normal,Decommissioning of electrolyzers capacity stock due to reaching the end of their lifetime.,,,,False
4601,stationary electrolyzers capacity expansion,stationary_electrolyzers_capacity_expansion,['REGIONS 9 I'],TW/Year,"(nan, nan)",Auxiliary,Normal,New installed capacities of electrolyzers.,,,,False
4602,stationary electrolyzers capacity expansion required,stationary_electrolyzers_capacity_expansion_required,['REGIONS 9 I'],TW/Year,"(nan, nan)",Auxiliary,Normal,Electrolyzers capacity expansion required annualy which would make it possible to cover the demand for hydrogen with stationary eletctrolyzers,,,,False
4603,stock hours per worker,stock_hours_per_worker,"['REGIONS 35 I', 'SECTORS I']",Mhours/(kpeople*Year),"(nan, nan)",Stateful,Integ,Hours per worker by sector.,,,,False
4604,stock mineral RoE,stock_mineral_roe,['MATERIALS I'],Mt,"(nan, nan)",Stateful,Integ,stock of minerals in the Rest of the economy,,,,False
4605,stock of forest volume protected,stock_of_forest_volume_protected,['REGIONS 9 I'],m3,"(nan, nan)",Auxiliary,Normal,share of forest volume relative to 2019 value that is the limit of extraction,,,,False
4606,stored energy input by PROSTO,stored_energy_input_by_prosto,"['REGIONS 9 I', 'PROSTO ELEC I']",EJ/Year,"(nan, nan)",Auxiliary,Normal,Total energy entering the storage device.,,,,False
4607,stored energy losses roundtrip by PROSTO,stored_energy_losses_roundtrip_by_prosto,"['REGIONS 9 I', 'PROSTO ELEC I']",EJ/Year,"(nan, nan)",Auxiliary,Normal,Energy losses associated to storage by PROcess STOrage.,,,,False
4608,stored energy output by PROSTO,stored_energy_output_by_prosto,"['REGIONS 9 I', 'PROSTO ELEC I']",EJ/Year,"(nan, nan)",Auxiliary,Normal,Total energy exiting the storage device.,,,,False
4609,stress signal PROTRA curtailed,stress_signal_protra_curtailed,"['REGIONS 9 I', 'NRG COMMODITIES I', 'NRG PROTRA I']",DMNL,"(nan, nan)",Auxiliary,Normal,Capacity expansion request falls to 0 when the variation of CF falls to the value of CF_LOSS_SHARE_STOPPING_PROTRA_CAPACITY_EXPANSION_SP.,,,,False
4610,stress signal solar land,stress_signal_solar_land,['REGIONS 9 I'],DMNL,"(nan, nan)",Auxiliary,Normal,"Variable sending signal of stress of land for solar . If=1 no stress, from 0,5 to 1 the stress grows linearly, If =0 maximum stress",,,,False
4611,stress signal uranium scarcity,stress_signal_uranium_scarcity,"['REGIONS 9 I', 'NRG COMMODITIES I', 'NRG PRO I']",DMNL,"(nan, nan)",Auxiliary,Normal,Capacity expansion request falls to 0 when the variation of CF falls to the value of CF_LOSS_SHARE_STOPPING_PROTRA_CAPACITY_EXPANSION_SP.,,,,False
4612,structure government consumption,structure_government_consumption,"['REGIONS 35 I', 'COFOG I']",DMNL,"(nan, nan)",Auxiliary,Normal,Structure of government consumption by category (COFOG classification: Classification of the Functions of the Government).,,,,False
4613,structure government expenditure,structure_government_expenditure,"['REGIONS 35 I', 'GOVERNMENT EXPENDITURE I']",DMNL,"(nan, nan)",Auxiliary,Normal,Structure of government expenditure,,,,False
4614,structure government investment,structure_government_investment,"['REGIONS 35 I', 'COFOG I']",DMNL,"(nan, nan)",Auxiliary,Normal,Structure of government investment by category (COFOG classification: Classification of the Functions of the Government).,,,,False
4615,subshare bus,subshare_bus,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,,,,,False
4616,subshare rail,subshare_rail,['REGIONS 35 I'],,"(nan, nan)",Auxiliary,Normal,Share of rail over total bublic transportation,,,,False
4617,sum hidden resources,sum_hidden_resources,['ORE GRADES I'],Mt,"(nan, nan)",Auxiliary,Normal,Sum of copper in all ore grades of resources.,,,,False
4618,sum known reserves,sum_known_reserves,['ORE GRADES I'],Mt,"(nan, nan)",Auxiliary,Normal,Sum of Copper in reserves over all ore grades.,,,,False
4619,sum of all agriculture share,sum_of_all_agriculture_share,"['REGIONS 9 I', 'LAND PRODUCTS I']",DMNL,"(nan, nan)",Auxiliary,Normal,check summ of all shares of management,,,,False
4620,sum of new coal mines per year,sum_of_new_coal_mines_per_year,,mines/Year,"(nan, nan)",Auxiliary,Normal,Sum of mines constructed per year.,,,,False
4621,surplus persons by household,surplus_persons_by_household,"['REGIONS EU27 I', 'HOUSEHOLDS DEMOGRAPHY I']",households/person,"(nan, nan)",Auxiliary,Normal,People exceeding the maximum number of people per household. This variable should be always 0 in 2015,,,,False
4622,switch land production policy,switch_land_production_policy,"['REGIONS 9 I', 'LANDS I']",DMNL,"(nan, nan)","Auxiliary, Constant",Normal,0: deactivate policy the scenario parameter 1: Activate the scenario parameter,,,,False
4623,switches mat2eco by sector,switches_mat2eco_by_sector,['SECTORS EXTRACTION I'],,"(nan, nan)","Auxiliary, Constant",Normal,Switches materials to economy by economic sector,,,,False
4624,t per Gt units,t_per_gt_units,,t/Gt,"(nan, nan)",Constant,Normal,Units for unit conversion.,,,,False
4625,t per Mt units,t_per_mt_units,,t/Mt,"(nan, nan)",Constant,Normal,Units for unit conversion.,,,,False
4626,t per kg units,t_per_kg_units,,t/kg,"(nan, nan)",Constant,Normal,Units for unit conversion.,,,,False
4627,t per kt units,t_per_kt_units,,t/Kt,"(nan, nan)",Constant,Normal,,,,,False
4628,tCO2eq per GtCO2eq units,tco2eq_per_gtco2eq_units,,tCO2eq/GtCO2eq,"(nan, nan)",Constant,Normal,Units for unit conversion.,,,,False
4629,tCO2eq per MtCO2eq,tco2eq_per_mtco2eq,,tCO2eq/MtCO2eq,"(nan, nan)",Constant,Normal,Units for unit conversion.,,,,False
4630,tax GHG households,tax_ghg_households,['REGIONS 35 I'],Mdollars/Year,"(nan, nan)",Auxiliary,Normal,"Government revenues from CO taxes: households, properly modularized when the economy witch is zero.",,,,False
4631,tax GHG households until 2015,tax_ghg_households_until_2015,['REGIONS 35 I'],Mdollars/Year,"(nan, nan)",Stateful,SampleIfTrue,This variable is created to isolate the government module. When 2015 is reached it stops taking the historic value of the variable contained in it and stays constant at the 2015 level of this variable.,,,,False
4632,tax GHG paid by sector,tax_ghg_paid_by_sector,"['REGIONS 35 I', 'SECTORS I']",Mdollars/Year,"(nan, nan)",Auxiliary,Normal,"GHG taxes paid by sector, modularized when the switch of economy is zero.",,,,False
4633,tax GHG sectors,tax_ghg_sectors,['REGIONS 35 I'],Mdollars/Year,"(nan, nan)",Auxiliary,Normal,Government revenues from GHG taxes paid by sectors,,,,False
4634,tax GHG sectors until 2015,tax_ghg_sectors_until_2015,['REGIONS 35 I'],Mdollars/Year,"(nan, nan)",Stateful,SampleIfTrue,"This variable is used to isolate the government submodule when it runs isolated. It takes the historic data of the variable contained in it until 2015, when it stays constant at that level for the rest of the time.",,,,False
4635,tax income corporations,tax_income_corporations,['REGIONS 35 I'],Mdollars/Year,"(nan, nan)",Auxiliary,Normal,Total taxes on corporations profits.,,,,False
4636,tax income corportations to finance basic income,tax_income_corportations_to_finance_basic_income,['REGIONS 35 I'],Mdollars/Year,"(nan, nan)",Auxiliary,Normal,Tax on profits of corporations to finance universal basic income,,,,False
4637,tax rate on profits,tax_rate_on_profits,['REGIONS 35 I'],DMNL,"(nan, nan)",Auxiliary,Normal,Tax rate on taxes on the income or profits of corporations,,,,False
4638,tax rate production,tax_rate_production,"['REGIONS 35 I', 'SECTORS I']",DMNL,"(nan, nan)",Auxiliary,Normal,Tax rate on production. Note that these are net tax rates and include both taxes and subsides.,,,,False
4639,tax rate social security,tax_rate_social_security,['REGIONS 35 I'],DMNL,"(nan, nan)",Auxiliary,Normal,Social security contrubutions rate over gross labour compensation,,,,False
4640,tax revenue from hydrocarbons,tax_revenue_from_hydrocarbons,['HYDROCARBONS W I'],Mdollars/Year,"(nan, nan)",Auxiliary,Normal,Tax Revenue from hydrocarbon Tax. The tax revenue is collected by the countries that are extracting these materials. It is a policy variable. The idea is with increasing prices for resource extraction by imposing a tax the demand for the taxed resources will decrease,,,,False
4641,tax revenue from metals,tax_revenue_from_metals,['METALS W I'],Mdollars/Year,"(nan, nan)",Auxiliary,Normal,Tax Revenue from metals/ resources Tax. The tax revenue is collected by the countries that are extracting these materials. It is a policy variable. The idea is with increasing prices for resource extraction by imposing a tax the demand for the taxed resources will decrease,,,,False
4642,taxable income,taxable_income,"['REGIONS 35 I', 'HOUSEHOLDS I']",dollars/(Year*households),"(nan, nan)",Auxiliary,Normal,Households taxable income by household type,,,,False
4643,taxes on assets to finance basic income,taxes_on_assets_to_finance_basic_income,['REGIONS 35 I'],Mdollars/Year,"(nan, nan)",Auxiliary,Normal,Taxes on financial assets to fiance basic income,,,,False
4644,taxes on assets to finance basic income by household group,taxes_on_assets_to_finance_basic_income_by_household_group,"['REGIONS 35 I', 'HOUSEHOLDS I']",Mdollars/Year,"(nan, nan)",Auxiliary,Normal,Taxes on financial assets to finance basic income paid by each household group,,,,False
4645,taxes on income,taxes_on_income,['REGIONS 35 I'],Mdollars/Year,"(nan, nan)",Auxiliary,Normal,Total of taxes on income.,,,,False
4646,taxes on income and wealth,taxes_on_income_and_wealth,['REGIONS 35 I'],Mdollars/Year,"(nan, nan)",Auxiliary,Normal,Total of taxes on income and wealth.,,,,False
4647,taxes on production,taxes_on_production,['REGIONS 35 I'],Mdollars/Year,"(nan, nan)",Auxiliary,Normal,Net taxes on production.,,,,False
4648,taxes on resources,taxes_on_resources,['MATERIALS W I'],Mdollars/Year,"(nan, nan)",Auxiliary,Normal,Tax Revenue from Resource Tax. The tax revenue is collected by the countries that are extracting these materials. It is a policy variable. The idea is with increasing prices for resource extraction by imposing a tax the demand for the taxed resources will decrease.,,,,False
4649,taxes on resources paid by extraction sectors,taxes_on_resources_paid_by_extraction_sectors,"['REGIONS 35 I', 'SECTORS I']",Mdollars/Year,"(nan, nan)","Auxiliary, Constant",Normal,Taxes on resources split into the different regions according to their output share. Tax Revenue from metals/ resources Tax. The tax revenue is collected by the countries that are extracting these materials. It is a policy variable. The idea is with increasing prices for resource extraction by imposing a tax the demand for the taxed resources will decrease,,,,False
4650,taxes on respurces per unit of output,taxes_on_respurces_per_unit_of_output,"['REGIONS 35 I', 'SECTORS I']",Mdollars/Mdollars 2015,"(nan, nan)",Auxiliary,Normal,Taxes on resources per unit of output,,,,False
4651,taxes on wealth,taxes_on_wealth,['REGIONS 35 I'],Mdollars/Year,"(nan, nan)",Auxiliary,Normal,Total of taxes on wealth.,,,,False
4652,taxes production,taxes_production,"['REGIONS 35 I', 'SECTORS I']",Mdollars/Year,"(nan, nan)",Auxiliary,Normal,Taxes on production in nominal terms.,,,,False
4653,taxes production real,taxes_production_real,"['REGIONS 35 I', 'SECTORS I']",Mdollars 2015/Year,"(nan, nan)",Auxiliary,Normal,Net taxes on production in real terms.,,,,False
4654,taxes products,taxes_products,['REGIONS 35 I'],Mdollars/Year,"(nan, nan)",Auxiliary,Normal,Net taxes on products.,,,,False
4655,taxes products by sector,taxes_products_by_sector,"['REGIONS 35 MAP I', 'SECTORS MAP I']",Mdollars/Year,"(nan, nan)",Auxiliary,Normal,Net taxes on products by sector in nominal terms.,,,,False
4656,taxes products by sector real,taxes_products_by_sector_real,"['REGIONS 35 MAP I', 'SECTORS MAP I']",Mdollars 2015/Year,"(nan, nan)",Auxiliary,Normal,Net taxes on products paid by sectors in real terms.,,,,False
4657,taxes products domestic by sector,taxes_products_domestic_by_sector,"['REGIONS 35 I', 'SECTORS I']",Mdollars/Year,"(nan, nan)",Auxiliary,Normal,Net taxes on domestic products by sector in nominal terms.,,,,False
4658,taxes products domestic by sector real,taxes_products_domestic_by_sector_real,"['REGIONS 35 I', 'SECTORS I']",Mdollars 2015/Year,"(nan, nan)",Auxiliary,Normal,Net taxes on domestic products paid by sectors in real terms.,,,,False
4659,taxes products domestic final demand,taxes_products_domestic_final_demand,"['REGIONS 35 I', 'SECTORS I', 'FINAL DEMAND I']",Mdollars/Year,"(nan, nan)",Auxiliary,Normal,Net taxes on domestic final products in nominal terms.,,,,False
4660,taxes products domestic final demand real,taxes_products_domestic_final_demand_real,"['REGIONS 35 I', 'SECTORS I', 'FINAL DEMAND I']",Mdollars 2015/Year,"(nan, nan)",Auxiliary,Normal,Taxes on domestic final products in real terms,,,,False
4661,taxes products final demand,taxes_products_final_demand,"['REGIONS 35 MAP I', 'FINAL DEMAND I']",Mdollars/Year,"(nan, nan)",Auxiliary,Normal,Net taxes on final products in nominal terms.,,,,False
4662,taxes products final demand real,taxes_products_final_demand_real,"['REGIONS 35 MAP I', 'FINAL DEMAND I']",Mdollars 2015/Year,"(nan, nan)",Auxiliary,Normal,,,,,False
4663,taxes products imports by sector,taxes_products_imports_by_sector,"['REGIONS 35 I', 'REGIONS 35 MAP I', 'SECTORS I']",Mdollars/Year,"(nan, nan)",Auxiliary,Normal,"Net taxes on imported products by sector in nominal terms. IF_THEN_ELSE(SWITCH_ECO_PRIMARY_INPUTS=0, SUM(INITIAL_INTERMEDIATE_IMPORTS_AND_EXPORTS_REAL[REGIONS 35 I,SECTORS MAP I!,REGIONS 35 MAP I,SECTORS I]* (BASE_PRICE_OUTPUT[REGIONS 35 I ,SECTORS MAP I!]/PRICE_TRANSFORMATION))*TAX_RATE_INTERMEDIATE_PRODUCTS_IMPORTS_AGGREGATE D[REGIONS 35 I,REGIONS 35 MAP I ,SECTORS I ],SUM(intermediate_imports_and_exports_real[REGIONS 35 I,SECTORS MAP I!,REGIONS 35 MAP I,SECTORS I]*(price_output [REGIONS 35 I ,SECTORS MAP I!]/PRICE_TRANSFORMATION))*TAX_RATE_INTERMEDIATE_PRODUCTS_IMPORTS_AGGREGATE D[REGIONS 35 I,REGIONS 35 MAP I ,SECTORS I ])",,,,False
4664,taxes products imports by sector real,taxes_products_imports_by_sector_real,"['REGIONS 35 I', 'REGIONS 35 MAP I', 'SECTORS I']",Mdollars 2015/Year,"(nan, nan)",Auxiliary,Normal,Net taxes on imported products paid by sectors in real terms.,,,,False
4665,taxes products imports final demand,taxes_products_imports_final_demand,"['REGIONS 35 I', 'SECTORS I', 'REGIONS 35 MAP I', 'FINAL DEMAND I']",Mdollars/Year,"(nan, nan)",Auxiliary,Normal,Net taxes on imported final products in nominal terms.,,,,False
4666,taxes products imports final demand real,taxes_products_imports_final_demand_real,"['REGIONS 35 I', 'SECTORS I', 'REGIONS 35 MAP I', 'FINAL DEMAND I']",Mdollars 2015/Year,"(nan, nan)",Auxiliary,Normal,Taxes on imported final products in real terms,,,,False
4667,technical coefficients domestic,technical_coefficients_domestic,"['REGIONS 35 I', 'SECTORS I', 'SECTORS MAP I']",DMNL,"(nan, nan)",Auxiliary,Normal,Technical coeffcients: domestic. Domestic intermediate inputs required to produce one unit of output.,,,,False
4668,technical coefficients import,technical_coefficients_import,"['REGIONS 35 MAP I', 'SECTORS I', 'REGIONS 35 I', 'SECTORS MAP I']",DMNL,"(nan, nan)",Auxiliary,Normal,Technical coefficients: imports. Imported intermediate inputs required to produce one unit of output.,,,,False
4669,technical coefficients total,technical_coefficients_total,"['REGIONS 35 I', 'SECTORS I', 'SECTORS MAP I']",DMNL,"(nan, nan)",Auxiliary,Normal,Technical coefficients: total. Total intermediate inputs required to produce one unit of output.,,,,False
4670,temperature change,temperature_change,,DegreesC,"(nan, nan)",Auxiliary,Normal,"Temperature of the Atmosphere and Upper Ocean, relative to preindustrial reference period",,,,True
4671,temperature change AMOC weakening,temperature_change_amoc_weakening,['REGIONS 9 I'],DegreesC,"(nan, nan)",Auxiliary,Normal,"Temperature will change in some LOCOMOTION regions (in UE27, UK and USMCA), if tipping point is activated. Values source is Liu et al.,2020: Liu, W., Fedorov, A. V., Xie, S.-P. & Hu, S. Climate impacts of a weakened Atlantic meridional overturning circulation in a warming climate. Sci. Adv. 6, https://doi.org/10.1126/sciadv.aaz4876 (2020).",,,,False
4672,temperature change RoE,temperature_change_roe,,DegreesC,"(nan, nan)",Auxiliary,Normal,"Temperature Change in the Rest of the World (RoE); non-Locomotion regions, i.e., oceans, seas and Antarctica",,,,False
4673,temperature change by region and climate,temperature_change_by_region_and_climate,"['CLIMATIC ZONES I', 'REGIONS 9 I']",DegreesC,"(nan, nan)",Auxiliary,Normal,Change in temperature depend by region and climate.,,,,False
4674,temperature change in 35regions,temperature_change_in_35regions,['REGIONS 35 I'],DegreesC,"(nan, nan)",Auxiliary,Normal,"Temperature change in the 35 regions of LOCOMOTION (without climatic zones, only political regions)",,,,True
4675,temperature change in9regions,temperature_change_in9regions,['REGIONS 9 I'],DegreesC,"(nan, nan)",Auxiliary,Normal,Temperature change for the 9 LOCOMOTION Regions. Computed using the climate values for each region.,,,,False
4676,thermal storage,thermal_storage,"['REGIONS 9 I', 'PROSUP P2H I']",GWh,"(nan, nan)",Auxiliary,Normal,Thermal storage capacity in gigawatts-hour (GWh) of power-to-heat technology,,,,False
4677,time const for CH4,time_const_for_ch4,,Years,"(5.0, 15.0)",Auxiliary,Normal,Time constant for CH4,,,,False
4678,top down transport emissions,top_down_transport_emissions,"['REGIONS 35 I', 'PASSENGERS TRANSPORT MODE I', 'GHG I']",Mt/Year,"(nan, nan)",Auxiliary,Normal,,,,,False
4679,total Al known reserves,total_al_known_reserves,['ORE GRADES I'],Mt,"(nan, nan)",Auxiliary,Normal,Sum of Aluminiun in different ore grade.,,,,False
4680,total C anthro emissions,total_c_anthro_emissions,,Gt/Year,"(nan, nan)",Auxiliary,Normal,Total annual CO2 emissions converted to GtonsC/year.,,,,False
4681,total C from permafrost,total_c_from_permafrost,,Gt,"(nan, nan)",Stateful,Integ,"In terms of total C mass (of both CO2 and CH4) released from permafrost melting, experts estimated that 15-33 Pg C (n=27) could be released by 2040, reaching 120-195 Pg C by 2100, and 276-414 Pg C by 2300 under the high warming scenario (Fig. 1c). 1 PgC = 1GtonC.",,,,False
4682,total CH4 released,total_ch4_released,,Gt,"(nan, nan)",Stateful,Integ,"Of C emissions released from melting of permafrost, only about 2.3 % was expected to be in the form of CH4, corresponding to W.26-0.85 Pg CH4-C by 2040, 2.03-6.21 Pg CH4-C by 2100 and 4.61-14.24 Pg CH4-C by 2300 (Fig. 1d).",,,,False
4683,total CO2 emission world,total_co2_emission_world,,Gt/Year,"(nan, nan)",Auxiliary,Normal,Total global CO2 emissions.,,,,False
4684,total CO2 emissions,total_co2_emissions,['REGIONS 9 I'],Gt/Year,"(nan, nan)",Auxiliary,Normal,Total annual CO2 emissions.,,,,False
4685,total CO2 emissions PE,total_co2_emissions_pe,['REGIONS 9 I'],Mt/Year,"(nan, nan)",Auxiliary,Normal,CO2 emissions PE.,,,,False
4686,total CO2 emissions PE combustion,total_co2_emissions_pe_combustion,['REGIONS 9 I'],Mt/Year,"(nan, nan)",Auxiliary,Normal,CO2 emissions PE combustion accounting for CCS.,,,,False
4687,total CO2 energy emissions 9R,total_co2_energy_emissions_9r,['REGIONS 9 I'],Gt/Year,"(nan, nan)",Auxiliary,Normal,"Total greenhouse gas emissions generated in all energy chain, by region and type of gas.",,,,False
4688,total CO2e emissions per capita 1R,total_co2e_emissions_per_capita_1r,,t/(Year*person),"(nan, nan)",Auxiliary,Normal,Total world emissions of carbon dioxide equivalent.,,,,False
4689,total CO2e emissions per capita 9R,total_co2e_emissions_per_capita_9r,['REGIONS 9 I'],t/(Year*person),"(nan, nan)",Auxiliary,Normal,total_CO2e_emissions_per_capita_9R,,,,False
4690,total Cu known reserves,total_cu_known_reserves,,Mt,"(nan, nan)",Auxiliary,Normal,Sum of reserves of copper from different Ore grades,,,,False
4691,total ESOIfinal electrified vehicles,total_esoifinal_electrified_vehicles,"['REGIONS 35 I', 'TRANSPORT POWER TRAIN I', 'BATTERY VEHICLES I']",DMNL,"(nan, nan)",Auxiliary,Normal,Weighted-average ESOI final for all EV subtechnologies.,,,,False
4692,total ESOIst electrified vehicles,total_esoist_electrified_vehicles,"['REGIONS 35 I', 'TRANSPORT POWER TRAIN I', 'BATTERY VEHICLES I']",DMNL,"(nan, nan)",Auxiliary,Normal,Weighted-average ESOIst (standard) for all EV subtechnologies.,,,,False
4693,total EU population in households,total_eu_population_in_households,['REGIONS EU27 I'],,"(nan, nan)",Auxiliary,Normal,,,,,False
4694,total EV vehicles batteries capacity,total_ev_vehicles_batteries_capacity,"['REGIONS 35 I', 'EV BATTERIES I']",TW*h/cycle,"(nan, nan)",Auxiliary,Normal,Total capacity of EV batteries in the BEV vehicles.,,,,False
4695,total FE IEA Model CHECK,total_fe_iea_model_check,"['REGIONS 9 I', 'NRG FE I']",EJ/Year,"(nan, nan)",Auxiliary,Normal,,,,,False
4696,total FE embodied PV technology,total_fe_embodied_pv_technology,"['REGIONS 9 I', 'PROTRA PP SOLAR PV I', 'PROTRA PP SOLAR PV SUBTECHNOLOGIES I']",MJ/MW,"(nan, nan)",Auxiliary,Normal,Total energy embodied per MW of photovoltaic technology.,,,,False
4697,total FE energy uses,total_fe_energy_uses,['REGIONS 9 I'],EJ/Year,"(nan, nan)",Auxiliary,Normal,Total final energy demand for 9 regions (not including non-energy uses).,,,,False
4698,total FE excluding trade by region,total_fe_excluding_trade_by_region,['REGIONS 9 I'],EJ/Year,"(nan, nan)",Auxiliary,Normal,,,,,False
4699,total FE including net trade,total_fe_including_net_trade,"['REGIONS 9 I', 'NRG FE I']",EJ/Year,"(nan, nan)",Auxiliary,Normal,"total final energy demand/consumption, including imports/exports of final energy commodities (or transformation inputs).",,,,False
4700,total FE including trade per capita,total_fe_including_trade_per_capita,['REGIONS 9 I'],GJ/(Year*person),"(nan, nan)",Auxiliary,Normal,,,,,False
4701,total FE including trade per capita 1R,total_fe_including_trade_per_capita_1r,,GJ/(Year*person),"(nan, nan)",Auxiliary,Normal,Total iron includin trade per capita.,,,,False
4702,total FE per capita,total_fe_per_capita,['REGIONS 9 I'],GJ/(Year*person),"(nan, nan)",Auxiliary,Normal,total_FE_per_capita,,,,False
4703,total FES,total_fes,"['REGIONS 35 I', 'SECTORS NON ENERGY I', 'NRG FE I']",DMNL,"(nan, nan)",Auxiliary,Normal,Total final energy substitution by sector and final energy estimated with a top-down approach,,,,False
4704,total Fe known reserves,total_fe_known_reserves,,Mt,"(nan, nan)",Auxiliary,Normal,Sum of Fe in different Ore grades,,,,False
4705,total GHG IPPUs emission,total_ghg_ippus_emission,['GHG I'],Gt/Year,"(nan, nan)",Auxiliary,Normal,total_GHG_IPPUs_emission_9R,,,,False
4706,total GHG emissions,total_ghg_emissions,['REGIONS 9 I'],GtCO2eq/Year,"(nan, nan)",Auxiliary,Normal,Total greenhouse gas emissions from all sources.,,,,False
4707,total GHG emissions 35R,total_ghg_emissions_35r,['GHG I'],Gt/Year,"(nan, nan)",Auxiliary,Normal,,,,,False
4708,total GHG energy chain emissions 9R,total_ghg_energy_chain_emissions_9r,"['REGIONS 9 I', 'GHG I']",Gt/Year,"(nan, nan)",Auxiliary,Normal,"Total greenhouse gas emissions generated in all energy chain, by region and type of gas, in Gt/year. ---9R_old_eq--- (GHG_extraction_emissions[REGIONS 9 I,GHG I]+ GHG_refining_emissions[REGIONS 9 I,GHG I]+ GHG_energy_transformation_emissions[REGIONS 9 I,GHG I]+ GHG_energy_supply_emissions[REGIONS 9 I,GHG I]+ GHG_energy_use_emissions[REGIONS 9 I,GHG I])/UNIT_CONVERSION_Mt_Gt",,,,False
4709,total GHG energy emissions 9R,total_ghg_energy_emissions_9r,"['REGIONS 9 I', 'GHG I']",Gt/Year,"(nan, nan)",Auxiliary,Normal,,,,,False
4710,total GHG waste emissions,total_ghg_waste_emissions,['GHG ENERGY USE I'],Gt/Year,"(nan, nan)",Auxiliary,Normal,total_GHG_waste_emissions,,,,False
4711,total Ni known reserves,total_ni_known_reserves,,Mt,"(nan, nan)",Auxiliary,Normal,Sum of Ni known reserves in different ore grades,,,,False
4712,total PE by region,total_pe_by_region,['REGIONS 9 I'],EJ/Year,"(nan, nan)",Auxiliary,Normal,Total primary energy by region.,,,,False
4713,total PE energy uses,total_pe_energy_uses,['REGIONS 9 I'],EJ/Year,"(nan, nan)",Auxiliary,Normal,"Approximation to estimate the total amount of PE for energy uses,taking as proxy the share of energy vs non-energy final energy demand.",,,,False
4714,total PE per region per capita,total_pe_per_region_per_capita,['REGIONS 9 I'],GJ/(Year*person),"(nan, nan)",Auxiliary,Normal,,,,,False
4715,total PROFLEX investment cost,total_proflex_investment_cost,['REGIONS 9 I'],Mdollars 2015/Year,"(nan, nan)",Auxiliary,Normal,,,,,False
4716,total PROSTO losses elec,total_prosto_losses_elec,['REGIONS 9 I'],EJ/Year,"(nan, nan)",Auxiliary,Normal,Storage losses including roundtrip storage and additional transmission losses.,,,,False
4717,total PROSUP transmission losses,total_prosup_transmission_losses,"['REGIONS 9 I', 'NRG TO I']",EJ/Year,"(nan, nan)",Auxiliary,Normal,"transmission losses for grid-bound energy commodities (elec, gas, heat)",,,,False
4718,total PROTRA CO2 emissions,total_protra_co2_emissions,['REGIONS 9 I'],Mt/Year,"(nan, nan)",Auxiliary,Normal,Total CO2 emissions in process transformations.,,,,False
4719,total PROTRA investment cost 35R,total_protra_investment_cost_35r,['REGIONS 35 I'],Mdollars 2015/Year,"(nan, nan)",Auxiliary,Normal,,,,,False
4720,total blue water demand 9R,total_blue_water_demand_9r,['REGIONS 9 I'],hm3,"(nan, nan)",Auxiliary,Normal,Total water demand for the 9 LOCOMOTION regions.,,,,False
4721,total capacity EV chargers,total_capacity_ev_chargers,['REGIONS 35 I'],TW,"(nan, nan)",Auxiliary,Normal,Total capacity in MW of EVchargers installed,,,,False
4722,total coal available,total_coal_available,,EJ/Year,"(nan, nan)",Auxiliary,Normal,Total amount of coal that could potaintially be mined per year in EJ.,,,,False
4723,total coal mined,total_coal_mined,['COAL TYPES I'],EJ/Year,"(nan, nan)",Auxiliary,Normal,Sum of HARD and BROWN COAL mined per Year in EJ per Year,,,,False
4724,total coal production capacity,total_coal_production_capacity,['COAL TYPES I'],Mt/Year,"(nan, nan)",Auxiliary,Normal,Total mining capacity of HARD COAL AND BRWON COAL in Mt per year.,,,,False
